,Date,Change,Price
0,5/20/86,3.7%,0.9776836769703535
1,5/21/86,-0.7%,0.970839891231561
2,5/22/86,5.9%,1.028119444814223
3,5/23/86,1.4%,1.0425131170416222
4,5/27/86,4.2%,1.0862986679573703
5,5/28/86,2.3%,1.1112835373203898
6,5/29/86,1.5%,1.1279527903801956
7,5/30/86,-0.7%,1.1200571208475343
8,6/2/86,-2.8%,1.0886955214638032
9,6/3/86,0.6%,1.095227694592586
10,6/4/86,-1.9%,1.074418368395327
11,6/5/86,2.0%,1.0959067357632335
12,6/6/86,0.1%,1.0970026424989967
13,6/9/86,-6.9%,1.021309460166566
14,6/10/86,-0.4%,1.0172242223258998
15,6/11/86,1.9%,1.0365514825500919
16,6/12/86,0.4%,1.0406976884802923
17,6/13/86,5.1%,1.0937732705927872
18,6/16/86,0.3%,1.0970545904045654
19,6/17/86,-2.2%,1.072919389415665
20,6/18/86,0.7%,1.0804298251415745
21,6/19/86,-1.2%,1.0674646672398755
22,6/20/86,4.2%,1.1122981832639505
23,6/23/86,-2.9%,1.0800415359492959
24,6/24/86,2.3%,1.1048824912761295
25,6/25/86,2.3%,1.1302947885754804
26,6/26/86,-0.3%,1.126903904209754
27,6/27/86,1.1%,1.1392998471560611
28,6/30/86,1.4%,1.155250045016246
29,7/1/86,1.4%,1.1714235456464734
30,7/2/86,0.8%,1.1807949340116453
31,7/3/86,-1.1%,1.1678061897375172
32,7/7/86,-9.3%,1.059200214091928
33,7/8/86,-3.1%,1.0263650074550783
34,7/9/86,1.6%,1.0427868475743596
35,7/10/86,0.1%,1.0438296344219338
36,7/11/86,-0.9%,1.0344351677121364
37,7/14/86,-5.2%,0.9806445389911052
38,7/15/86,-5.7%,0.9247478002686121
39,7/16/86,1.7%,0.9404685128731785
40,7/17/86,1.4%,0.9536350720534029
41,7/18/86,0.3%,0.956495977269563
42,7/21/86,-0.2%,0.954582985315024
43,7/22/86,2.4%,0.9774929769625845
44,7/23/86,0.7%,0.9843354278013225
45,7/24/86,-1.1%,0.973507738095508
46,7/25/86,2.9%,1.0017394625002776
47,7/28/86,-5.3%,0.9486472709877628
48,7/29/86,-1.8%,0.9315716201099831
49,7/30/86,2.7%,0.9567240538529526
50,7/31/86,-0.6%,0.9509837095298348
51,8/1/86,-1.6%,0.9357679701773575
52,8/4/86,1.4%,0.9488687217598405
53,8/5/86,1.4%,0.9621528838644783
54,8/6/86,-0.3%,0.9592664252128849
55,8/7/86,0.4%,0.9631034909137364
56,8/8/86,-0.2%,0.9611772839319089
57,8/11/86,4.8%,1.0073137935606407
58,8/12/86,3.4%,1.0415624625417024
59,8/13/86,2.8%,1.07072621149287
60,8/14/86,0.6%,1.0771505687618272
61,8/15/86,1.1%,1.0889992250182072
62,8/18/86,0.3%,1.0922662226932618
63,8/19/86,-1.0%,1.081343560466329
64,8/20/86,3.9%,1.1235159593245159
65,8/21/86,-0.1%,1.1223924433651913
66,8/22/86,0.5%,1.128004405582017
67,8/25/86,-2.8%,1.0964202822257205
68,8/26/86,6.0%,1.1622054991592639
69,8/27/86,0.6%,1.1691787321542195
70,8/28/86,-0.6%,1.162163659761294
71,8/29/86,0.1%,1.1633258234210553
72,9/2/86,-5.3%,1.1016695547797393
73,9/3/86,1.8%,1.1214996067657745
74,9/4/86,4.6%,1.1730885886770002
75,9/5/86,-4.0%,1.12616504512992
76,9/8/86,-2.8%,1.0946324238662823
77,9/9/86,-0.5%,1.089159261746951
78,9/10/86,-0.8%,1.0804459876529753
79,9/11/86,-14.4%,0.9248617654309469
80,9/12/86,-5.7%,0.8721446448013829
81,9/15/86,1.6%,0.886098959118205
82,9/16/86,-0.2%,0.8843267611999686
83,9/17/86,0.0%,0.8843267611999686
84,9/18/86,0.7%,0.8905170485283682
85,9/19/86,-0.2%,0.8887360144313114
86,9/22/86,3.4%,0.9189530389219761
87,9/23/86,0.9%,0.9272236162722738
