Date,Price,High,Low,Close,Adj Close,Volume
2019-02-22,23.459999,23.76,23.375,23.719999,23.516254,13609800
2019-02-25,24.110001,24.26,23.775,23.82,23.615395,19010600
2019-02-26,23.684999,23.985001,23.639999,23.745001,23.541042,7184600
2019-02-27,23.535,23.809999,23.27,23.705,23.501385,8802000
2019-02-28,23.620001,23.75,23.469999,23.545,23.34276,6355000
2019-03-01,24.004999,24.120001,23.594999,24.014999,23.808722,8069400
2019-03-04,24.305,24.360001,23.075001,23.73,23.526171,19698200
2019-03-05,23.764999,23.815001,23.48,23.629999,23.427025,7276600
2019-03-06,23.65,23.65,23.1,23.195,22.995766,9503600
2019-03-07,23.059999,23.09,22.360001,22.615,22.420746,13913400
2019-03-08,22.084999,22.5,21.955,22.475,22.281946,10669400
2019-03-11,22.645,23.48,22.645,23.455,23.253531,7099200
2019-03-12,23.575001,23.84,23.540001,23.695,23.491468,6860000
2019-03-13,23.940001,24.424999,23.9,24.165001,23.957432,10225400
2019-03-14,24.16,24.280001,23.98,24.115,23.907862,6242800
2019-03-15,24.245001,24.68,24.205,24.465,24.254858,12635000
2019-03-18,24.504999,24.799999,24.445,24.74,24.527496,7671800
2019-03-19,25.02,25.24,24.465,24.754999,24.542364,13119200
2019-03-20,24.59,24.959999,24.135,24.450001,24.286097,18361600
2019-03-21,24.195,25.385,24.195,25.254999,25.085701,10082200
2019-03-22,24.865,25.014999,23.790001,23.815001,23.65535,23755400
2019-03-25,23.709999,24.035,23.395,23.754999,23.595753,15269400
2019-03-26,24.245001,24.545,23.875,24.254999,24.0924,12962400
2019-03-27,24.27,24.440001,23.445,23.915001,23.754683,13492600
2019-03-28,24.059999,24.275,23.73,24.17,24.007971,9162400
2019-03-29,24.59,24.690001,24.26,24.639999,24.474819,9933000
2019-04-01,25.174999,25.555,25.105,25.5,25.329054,8812000
2019-04-02,25.525,25.565001,25.275,25.495001,25.324089,8099600
2019-04-03,25.865,25.98,25.440001,25.645,25.473083,10447200
2019-04-04,25.705,25.879999,25.495001,25.809999,25.636978,6718600
2019-04-05,26.01,26.184999,25.92,26.145,25.969732,8217800
2019-04-08,26.040001,26.26,25.85,26.245001,26.069059,7058600
2019-04-09,25.934999,26.035,25.665001,25.825001,25.651876,6827600
2019-04-10,25.945,26.110001,25.825001,26.09,25.915098,5437000
2019-04-11,26.219999,26.219999,25.879999,26.059999,25.8853,6347200
2019-04-12,26.535,26.66,26.325001,26.584999,26.40678,5933000
2019-04-15,26.6,26.625,26.275,26.514999,26.337248,5584200
2019-04-16,26.77,26.799999,26.379999,26.59,26.411747,6088000
2019-04-17,26.879999,26.885,26.225,26.360001,26.18329,9079800
2019-04-18,26.530001,26.58,26.125,26.5,26.322353,6603000
2019-04-22,26.254999,26.610001,26.235001,26.584999,26.40678,3704200
2019-04-23,26.674999,27.34,26.6,27.264999,27.082222,6937600
2019-04-24,27.25,27.344999,27.045,27.105,26.923296,5798000
2019-04-25,27.045,27.225,26.655001,27.02,26.838865,6519000
2019-04-26,27.030001,27.415001,26.795,27.41,27.22625,7146000
2019-04-29,27.41,27.674999,27.395,27.504999,27.320614,8413200
2019-04-30,27.405001,27.639999,26.965,27.549999,27.365311,5847400
2019-05-01,27.754999,27.809999,26.924999,26.93,26.749468,11235400
2019-05-02,26.860001,27.16,26.285,26.764999,26.585571,16984000
2019-05-03,27.190001,27.605,27.120001,27.52,27.335514,6831400
2019-05-06,26.155001,27.305,26.08,27.195,27.012691,12464200
2019-05-07,26.43,26.610001,25.219999,25.834999,25.661808,23133800
2019-05-08,25.700001,26.205,25.514999,25.715,25.542612,13466600
2019-05-09,25.049999,25.620001,24.545,25.455,25.284355,19609000
2019-05-10,25.17,26.045,24.280001,25.815001,25.641943,16458600
2019-05-13,24.280001,24.575001,23.625,23.905001,23.744749,28893400
2019-05-14,24.155001,24.950001,24.125,24.504999,24.340723,12672200
